ID_REF	M1M	M2M	M3M	E1M	E2M	E3M	M1F	M2F	M3F	E1F	E2F	E3F
FBtr0086143	9.82949474	9.780701498	9.058335709	9.331252199	9.883008262	9.473474007	10.19160842	9.734984925	9.634300845	9.319281931	9.38965801	8.120505393
FBtr0086144	11.12301068	10.23995874	9.422519165	9.625395616	10.97387448	9.560969963	12.01798445	11.78301479	11.76654137	11.24264323	11.20969893	12.11080901
FBtr0086145	9.890686382	9.957103928	9.722852433	9.507861621	9.176064164	9.847919729	10.45133992	10.41341299	10.4353992	10.06087801	10.62835622	8.868722257
FBtr0086146	11.26400984	10.56434168	10.03993181	10.08840652	11.39603273	10.2143581	12.5118883	12.13066673	12.33901782	11.92284768	11.996413	12.07501267
FBtr0086147	11.3574229	10.76573537	10.92367734	11.02272289	11.03635188	10.93111437	12.70586594	13.22075312	12.78916614	13.39824415	13.18561805	13.65092232
FBtr0086148	12.17121634	12.43792824	12.62621249	12.64511635	12.3531688	12.6326507	11.06410183	11.95701869	11.71595037	12.06543448	11.87314089	10.78215412
FBtr0086149	13.18376088	13.14733971	13.00027687	13.02999708	12.88076933	13.10681073	13.12657397	13.02033725	12.96922039	12.45481841	12.85823599	11.16580814
FBtr0086150	14.02731726	14.09754596	13.96654545	13.88085349	13.59476705	14.09405904	14.06279092	14.09768936	14.07400739	13.78789505	14.19291373	13.12090056
FBtr0086155	8.442593973	8.169528707	7.515536639	7.867750087	9.223781152	7.466858742	4.290144213	4.349627124	4.120567599	4.471252504	4.438612232	4.188076456
FBtr0086156	13.56689109	13.55823411	13.44456622	13.4961346	13.84756661	13.74866685	13.75108937	13.46034578	13.35765975	13.46450031	13.66375332	12.87788941
FBtr0086157	11.60519215	11.85233709	12.533537	12.38572958	11.06428099	12.41463374	11.56375627	12.56788563	12.02143979	12.88997803	12.80549593	11.35248682
FBtr0086159	9.893044978	9.520787002	8.68731199	8.677033538	8.818870688	8.82536302	10.77615401	10.55748859	10.27208246	9.949091172	10.63346845	10.3602576
FBtr0086160	6.629409081	7.655379022	8.147467996	7.753437399	6.744810969	7.59394307	7.516000171	7.581689433	7.216406361	8.331142674	8.118876202	8.622022526
FBtr0086162	9.326746306	9.702260318	10.35882996	10.13977413	9.997513577	10.23003737	9.099178412	9.28131736	8.869199612	9.090843641	8.627424082	7.480626235
FBtr0086163	12.98083637	12.81714128	12.60440837	12.69285181	13.05885694	12.6809114	12.02976313	11.85710396	11.89589097	11.23365443	11.14739371	11.20908936
