gene	M1F	M2F	M3F	M1M	M2M	M3M	E1F	E2F	E3F	E1M	E2M	E3M
FBgn0030432	5964.00	4775.19	4440.07	4785.14	4818.89	4998.93	4762.64	5011.55	5350.32	5108.15	5139.05	5389.30
FBgn0034577	2254.00	1947.21	2071.80	1981.95	2081.69	2198.92	2009.62	2113.62	2139.53	2221.71	2030.01	2262.03
FBgn0034481	83.00	80.07	83.20	94.49	94.58	114.38	66.78	94.38	86.78	98.64	125.85	91.92
FBgn0051102	633.00	702.06	672.63	529.61	495.37	469.20	695.94	668.65	634.38	493.22	474.95	455.60
FBgn0034627	128.00	119.52	99.61	113.15	135.78	134.22	101.93	112.99	132.66	123.30	128.04	119.90
FBgn0039210	528.00	515.23	530.84	604.27	618.05	581.24	550.08	559.64	463.81	563.84	634.72	576.50
FBgn0004511	8.00	35.97	21.09	5.83	13.11	7.00	12.30	22.60	21.94	10.09	13.13	16.99
FBgn0034870	87.00	51.06	63.28	80.49	67.42	84.04	83.48	47.86	67.83	108.73	75.51	58.95
FBgn0036652	4.00	10.44	9.37	7.00	4.68	77.03	12.30	11.96	26.93	8.97	14.23	4.00
FBgn0030104	69.00	22.05	64.45	46.66	44.95	50.19	28.12	22.60	100.74	38.11	28.45	73.94
FBgn0263453	10.00	9.28	16.41	15.17	5.62	3.50	12.30	11.96	7.98	12.33	14.23	11.99
FBgn0053519	12747.00	14301.21	12840.93	10350.70	9383.08	9281.23	12503.24	13448.75	13789.75	8015.88	10161.01	9077.08
FBgn0040348	3127.00	2262.85	2377.65	2971.17	3004.08	2947.07	2498.19	2566.92	2734.01	2895.40	3194.40	3227.18
FBgn0029672	258.00	340.01	277.72	209.98	221.00	233.43	325.12	321.70	230.41	230.91	209.02	192.83
FBgn0028683	386.00	273.86	281.24	254.31	292.17	290.62	304.04	320.37	320.18	320.59	316.27	329.71
FBgn0028572	10682.00	9689.64	9597.30	12030.51	12112.78	12001.87	9034.95	10485.69	10544.05	10820.49	11677.78	12063.47
FBgn0020443	3289.00	4687.00	4955.68	3997.73	3814.10	3829.44	4545.59	4600.78	3815.25	4139.65	3962.63	3719.75
FBgn0005664	5128.00	6446.22	5648.23	7970.96	10271.75	10496.24	4149.29	7368.43	6292.92	3838.12	5560.38	4564.02
FBgn0039158	368.00	270.38	261.32	304.47	324.94	332.64	303.16	271.18	329.16	314.99	349.10	330.71
FBgn0004863	67.00	63.82	55.08	87.49	80.53	82.87	60.63	58.49	68.82	76.22	86.45	78.93
FBgn0039154	105.00	90.51	97.26	58.33	59.00	82.87	114.23	79.76	93.76	97.52	78.79	76.93
FBgn0032741	2651.00	2137.52	1883.13	2079.94	2242.76	2431.19	2049.16	2455.26	2172.45	3042.25	2935.04	2447.86
FBgn0031535	1232.00	914.42	935.12	986.89	1062.85	1113.47	925.29	1059.47	1094.20	1008.85	983.82	1027.10
FBgn0030258	6095.00	5486.54	4953.33	5964.51	5959.47	6051.71	5396.19	5595.12	5598.69	4794.28	4857.81	4890.73
FBgn0030612	1232.00	1003.78	998.40	1030.05	993.56	896.38	1099.27	1188.41	962.54	985.31	802.16	858.25
FBgn0001133	1211.00	980.57	854.27	1037.05	1052.55	1009.59	993.83	1022.25	1023.38	1101.89	1120.61	1060.07
FBgn0035674	1334.00	1046.71	946.84	1158.37	1134.02	1122.80	1065.88	1121.95	1155.05	1131.03	1103.10	1078.06
FBgn0050083	108.00	120.69	137.10	86.32	128.29	131.89	163.44	85.08	95.76	288.08	145.55	203.82
FBgn0040339	788.00	526.84	535.53	543.61	609.62	626.76	629.16	602.18	611.44	652.39	618.31	620.46
FBgn0262569	59.00	46.42	23.44	82.82	42.14	35.01	67.66	11.96	50.87	82.95	24.08	68.94
FBgn0051200	4733.00	3060.07	3069.03	4764.14	3843.13	4180.76	3794.29	3106.63	3932.95	4691.16	3793.01	4696.90
FBgn0000055	219.00	458.37	336.32	624.10	766.94	787.83	334.79	376.20	329.16	570.56	502.31	508.56
FBgn0036789	832.00	1102.41	1192.92	1525.83	1533.88	1762.41	966.59	1253.55	952.57	1275.64	1818.80	1359.81
FBgn0032390	353.00	261.10	233.19	250.81	246.28	268.45	301.40	268.52	278.29	293.69	298.76	282.75
FBgn0035861	8.00	11.60	23.44	16.33	24.35	18.67	12.30	13.29	17.95	16.81	17.51	21.98
FBgn0032069	5.00	4.64	10.55	2.33	3.75	5.84	3.51	5.32	6.98	5.60	10.94	8.99
FBgn0010438	403.00	277.34	271.86	262.47	236.92	294.12	327.76	319.04	305.22	341.89	302.04	277.76
FBgn0031826	3.00	6.96	5.86	2.33	2.81	24.51	6.15	1.33	16.96	5.60	2.19	4.00
FBgn0034224	1.00	8.12	4.69	2.33	2.81	2.33	3.51	2.66	4.99	3.36	2.19	5.99
FBgn0026197	28187.00	19925.85	19997.30	21971.75	21214.93	22227.33	23184.90	21907.23	22650.11	26138.21	26882.63	24056.00
